,index,NO,song,group,lyrics
66,67,16,VILLAIN_DIES,(G)-IDLE,once upon a time there was a illain who is a illain hyeo ane gadeuk chan satang strawberry ige nae majimak manchaninji ttagapge dalkomhae meongcheonghae heuktuseongi jaen meoljjeonghae myeot bareul sswado nae chongen matji ana its okay why dont you loe me igeot bwa iri areumdaunde i michin soseore kkeuteun daeche eonjejjeum if the illain dies okay bullet loe die heroine is mine ill neer die een if its your sad ending heroine is mine ill neer die een if its your sad ending you put me down and want me dead in fact you dont een know me that well i neer cry but i was in pain yesterday as well cuz of her who is the illain geu akdangi nayeonne modeun geol mangchineun geunyeoreul miweohaenneunde i soseol sok akdangeun nayeonne hey yo god or author im goin to hell but not alone bweneun ge eopseo naye playneun bakkweobeoril geoya i gyeollon hey yo god or author im goin to hell but not alone no no no why do you loe her igeot bwa neul nal apeuge haneunde i michin soseore kkeuteun daeche eonjejjeum if the illain dies okay bullet loe die heroine is mine ill neer die een if its your sad ending heroine is mine ill neer die een if its your sad ending meongcheonghage heulleogage duji ana nan jaeminneun endingeul da jal bwa agyeoge useume uulhan majimak jang oh right oh right write neer die
67,68,17,MOON,(G)-IDLE,night with the bright moon me who couldnt hide at the red moonlight my tears and my facial expression can be seen not shine on me oh moon moon i want this place to be dark still not come near me oh moon so that i can remoe my smile for a while off the moonlight please dont let it shine that till the morning comes nobody can see me please hide me night with the bright moon me who couldnt forget at the blue sky that smile and that face can be seen not shine on me oh moon moon please i want to be alone in this place not come near me oh moon so that i can reduce my sadness for a while off the moonlight please dont let it shine that till the morning comes nobody can see me please hide me moon please take me to the sky that in your dark unierse i can hide this star please hide me night with the bright moon me who couldnt cry
68,69,19,Luv_U,(G)-IDLE,dont laugh so sensually its quite dangerous danger stare at me so intensely too its so hot so hot please stop you get electrocuted by your gaze like i will jump into your embrace matter how people keep teaching me that its bad cant hear them like a delinquent are foxy you come for my rationale stupid and i get lured by your stupidity dont want to resist you already fall in lu the sweet wind that blows hard high wall crumbles down easily feelings hae risen up till i cannot them back down i cant take it anymore loe you lu u lu u lu u baby lu u lu u lu u baby deeper so i get crazy oer you ok dont act stupid its kind of cute get close to me sneakily too my face heats up natural touch oh bomb bomb my heart explode it bigger eery second when i act calmly i fail yet again can you keep teasing me like this knock on the door with a bad smile glasslike heart break easily actually its already open can just come in dont care i already lu u the sweet wind that blows hard high wall crumbles down easily feelings hae risen up till i cannot them back down i cant take it anymore loe you lu u lu u lu u babe lu u lu u lu u babe lu that turned red lu that fell into danger loe you lu u lu u lu u baby lu u lu u lu u babyrefhttpscolorcodedlyricscom202004gidleluusalanghaeref
69,70,2,Feel_My_Rhythm,Red Velvet,oh ah ah ah yeah oh whoa oh whoa oh whoa red elet blowing up this fancy ball blow up were back cute chaotic delight ah this is gonna be a crazy night tonanananananight epic appearance to stunning greetings lets hae a little fun dont be shy bae bae let the play start let it start feel my ibe and sway blow confetti let off more fireworks pride and prejudice got nothing on us free in this moment in this room feel my rhythm come with me imagine anything follow the music dance to the moonlight right in this moment play my rhythm follow follow my heartbeat till the sun comes up feel my rhythm neer stop dont miss this moment baby a sweet ride old and classic just ride now cruising into a weird new dimension get loud a place ie neer imagined appears unexpectedly this fabulous night fabulous us fun and wild and brae grab me in your motion ggie me a new direction infinite black hole hypnotizing sweet emotion come ride with me sway lets go anywhere way i want to mess all the boundaries in this world oh yeah blow confetti all around pop more champagne all yours dont confine yourself to yesterday and tomorrow im truly free right now feel my rhythm come with me imagine anything follow the music dance to the moonlight right in this moment play my rhythm follow follow my heartbeat till the sun comes up feel my rhythm neer stop dont miss this moment baby ah ah ah ah ah ah ah ah when the world stops what a what a feeling come take my hand all right a brand new film we falling deep you and i and i next time spin the clock where should we go come on lets start again you and i whoa whoa whoa whoa woo feel my rhythm come with me oh yeah yeah yeah imagine anything ah follow the music dance to the moonlight right in this moment play my rhythm follow follow my heartbeat till the sun comes up till the sun comes up feel my rhythm this neerending dream dont miss this moment baby
70,71,7,Psycho,Red Velvet,woo ha yeah umm yeah psycho what should i do about you i haent felt this way up and down a lot i cant control myself one thing is for sure i dont play the game people say were so weird i just like you so much you know it so well and control me so do i were in a ery weird and strange relationship we crush each other crush and hug each other and hug you got me feeling like a psycho psycho people keep telling us as we fight like its our last but then we get along they dont get it its so funny right psycho psycho psycho psycho were fools loing each other so much fools fools without you i feel dizzy and sad i feel low people say we make a cute couple hey now well be okay hey trouble you come without a warning im the original isual this is who we are yeah im not afraid just find it interesting its hot let me just hop how can i handle you ohh i dont know what to do een if i calm you down and harshly kick you you sometimes smile at me how can i let you go ooh were in a beautiful and sad relationship we make each other shine tell me now like the moon and the rier and we hug again you got me feeling like a psycho psycho people keep telling us as we fight like its our last but then we get along they dont get it its so funny right psycho psycho right psycho psycho were fools loing each other so much fools fools without you i feel dizzy and sad i feel low people say we make a cute couple hey now well be ok dont look back like that lets be who we are i feel you with all my body eerything will be okay you go me feeling like a psycho like a psycho psycho people keep telling us they keep telling us as we fight like its our last hoo but then we get along people say we make a cute couple hey now well be okay hey now well be okay well be okay hey now well be okay well be okay hey now well be okay well be okay hey now well be okay its alright hey its alright oh its alright oh hey now well be okay ey hey now well be okay okay yeah hey now well be okay ey hey now well be okay okay its alright oh its alright were a little weird psycho
71,72,8,Queendom,Red Velvet,queens ah yeah ah yeah ah yeah ah yeah dururururu uhhuh ah yeah ah yeah ah yeah ah yeah yeah hey here we go again under the dazzling sunlight you smile brightly like a child hmm yeah oh hey in the same dream it kept calling us wonderland beyond distant memories we are queens in the red castle dont need crown we were born to dazzle paradigm that wee been building together stereotype thats clearly different the more you look the brighter the pose problems up to the sky throw it we are makin the rules cause we are queens and kings put your hands up higher the more it gathers the more beautiful it gets shining bling bling een if it rains strong and beautiful rainbow completed in all different ladidado babadida ladidado babadida shall we start again thats our queendom yeah ladidado babadida ladidado babadida the moment we hold our hands together thats our queendom hoo we we we strong nothing missing wake up the answer is simple be boss blow the whistle oh the bigger world is noticing you yeah shall we hae a festial shall we i hold your hand hold wee been waiting for this moment this moment spread your wings and be yourself come play at my carnial climax it starts now watch out we are makin the rules oh yeah cause we are queens and kings put your hands up higher the more it gathers the more beautiful it gets shining bling bling een if it rains strong and beautiful rainbow completed in all different shout out louder we do it better follow the light through the darkness no the new is called together ooh its now or neer we got foreer queen cause we are queens and kings oh put your hands up higher the more it gathers the more beautiful it gets shining bling bling oh yeah oh een if it rains oh strong and beautiful ooh whoa rainbow completed in all different ladidado babadida oh yeah ladidado babadida oh yeah shall we start again thats our qqueendom yeah ladidado babadida oh yeah ladidado babadida oh yeah the moment we hold our hands together thats our queendom yeah queendom
72,73,9,Red_Flavor,Red Velvet,red flaor im curious honey it tastes like slowly melting strawberry when i bite into it look for the corner candy shop baby what i like the most is the taste of summer i wanna fall asleep underneath a palm tree while the hot summer night breeze blows were nineteen easily falling in loe were cute together and cool too i like you it was loe at first sight i keep thinking of you i wanna go my own way red flaor im curious honey it tastes like slowly melting strawberry when i bite into it look for the corner candy shop baby what i like the most is the taste of summer yeah i open the door with seen rainbow your world is thrilling its cool mmm the of your loe is redder than the sun ill take it i want to do what i want look at me what are you thinking about s w what can we do today i imagine howeer i want red flaor im curious honey honey yeah it tastes like slowly melting strawberry when i bite into it tastes like slowly melting strawberry look for the corner candy shop baby yeaheheh what i like the most is the taste of summer yeah peach juice sweet and sour mix mood the cocktail i wanna gie you i brew red my ears are ringing and my nose is numb this feeling is more than what i imagined up and bang red bet you wanna bet you wanna dance like this shout it out i like you honestly youre nerous and youre dripping with sweat youre cute were sun burnt from falling in loe were red red ah cant you know how i feel een when i dont say it my heart keeps growing like spilled iced cream i might melt away so tell me yeah yeah tell me so tell me yeah yeah tell me with your dye me darker and more strikingly strikingly baby red flaor im curious honey honey it tastes like slowly melting strawberry when i bite into it the strawberry taste look for the corner candy shop baby what i like the most is the taste of summer what i like the most is the taste of summer what i like the most is you in the summer
73,74,10,Bad_Boy,Red Velvet,ooh mmm ooh mmm hey who dat who dat who dat boy woo caught my eye out of all these people ah ha that blank face i like that prooking my curiosity ah ha ah ha oh your style is chic your outfits like you tried but you didnt but you didnt the way you talk like you dont care i like that i try to turn away but im attracted to you ooh youre different im cold but you make me laugh oh right you know im pretty hot these days ah ah so you can feel all the eyes on me ooh oh like youre bewitched follow me eeryone cheers and you will too soon ooh ooh ohehohehoh you can act like youre not ooh ooh ohehohehoh wanna make a bet dont come too easily thats no fun stay right there ooh ooh ooh ooh ohehohehoh let me play some games ooh ooh ohehohehoh ill start bad boy down whoa whoa s w from now on bad boy down down whoa whoa come here for a sec i hae something to tell you come closer put your head down to match my height ooh dont care too much about other things only focus on my oice the situation is changing woo now im curious about you youll know soon what is this youll know tell me that its already too late thats right thats right im actually pretty confident right i dont play a losing game ha ah ah youre already halfway fallen for me fine like youre bewitched follow me follow me eeryone cheers eeryone cheers and you will too soon ooh ooh ohehohehoh you can act like youre not ooh ooh ohehohehoh wanna make a bet dont come too easily thats no fun stay right there ooh ooh ohehohehoh let me play some games ooh ooh ohehohehoh ill start bad boy down bad boy down im sure youre confused you cant een imagine you can try to escape but theres not a single crack to go through the answer is already there just follow me naturally follow me i chose you i w i already chose you like youre bewitched follow me ooh eeryone cheers i told you ooh ooh ohehohehoh the result is always the same ooh ooh ooh ohehohehoh see i won again dont come too easily dont come easily thats no fun now you ooh ooh ohehohehoh cant escape ooh ooh ohehohehoh its too easy bad boy down
74,75,11,Russian_Roulette,Red Velvet,lalalalala surrounded by a sharp secret behind a eil deeper and deeper hhhush aiming for your heart now this place is the of a dark night een the shadows get lost oh youre always like loe is game you say its light and easily enjoyed why do you keep saying these bad things trying to aoid me growing heart bbbeat its getting faster not like you heart bbbbeat wheneer you see me until the ery last moment it comes closer and closer crazy the risky aim russian roulette ahahahyeah lalalalala youre already heart bbbbeat until the ery last moment youll hae to trust me im your sweet russian roulette a dazzling secret you cant turn away from it anymore ill pppush your button accept it now so your heart can be filled with me youll look for me een when youre dreaming oh you still say loe is game you tell me but youre oice is shaking past the playful eyes i see you not knowing what to do growing heart bbbeat its getting faster not like you heart bbbbeat wheneer you see me until the ery last moment it comes closer and closer crazy the risky aim russian roulette ahahahyeah lalalalala youre already heart bbbbeat until the ery last moment youll hae to trust me im your sweet russian roulette you neer had this deep of a dream before my heart and this night makes this game flicker you cant control growing heart bbbeat its getting faster about to explode heart bbbbeat ill hold onto the key until the ery last moment it comes closer and closer crazy the risky aim russian roulette ahahahyeah lalalalala youre already heart bbbbeat its already engraed in you cant take it out deeper in your heart im your sweet russian roulette growing heart bbbeat its getting faster lalalalala growing heart bbbeat its getting faster lalalalala heart bbbbeat
75,76,12,Peek-A-Boo,Red Velvet,hmm yeah yeah oh gosh so crazy oh gosh yeah im an emotional girl i s i fall in loe so easily yeah yeah yeah yeah i like new things they sparkle eeryones like that right peekaboo its loe only when my heart flutters la la la la all my friends yell at me they say i hae a problem im fine fine fine fine fine fine pepeekapeekaboo pepeekapeekaboo a fox who wants to hae fun thats me peepeekapeekaboo i said 1 2 3 play the game again lets press the button hurry like kung fu dont be surprised een if i change my mind arent you attracted to me then excuse me 자 call me lets go play all night restart a game go forward roll it blanka tonight lets go the playground is popping no time to be bored yeah yeah yeah yeah go round and round oh eeryone is the same then we locked eyes peekaboo this is new is this loe la la la la la all my friends yell at me they all yell at me they say i hae a problem im fine fine fine fine fine fine ma boobooboo peekabooboobooboo pepeekapeekaboo pepeekapeekaboo pepeekapeekaboo tag youre it itll be fun ill include you here pepeekapeekaboo till the moon hangs on the jungle gym lets play pepeekapeekaboo peekaboo its strange youre different i stop this game and i look at you again im not afraid because i just felt that a new story will begin yeah yeah yeah yeah yeah yeah pepeekapeekaboo yeah yeah yeah yeah pepeekapeekaboo la la la la la a fox who wants to hae fun thats me la la peekaboo peepeekapeekaboo na na na tag youre it itll be fun ill include you here yeah pepeekapeekaboo till the moon hangs on the jungle gym lets play na na na na ooh pepeekapeekaboo tag youre it a peekaboobooboo itll be fun ill include you here a peekaboobooboo pepeekapeekaboo till the moon hangs on the jungle gym a peekaboobooboo lets play a little more yeah yeah pepeekapeekaboo peekaboo peekaboo peekaboo
76,77,13,Ice_Cream_Cake_(song),Red Velvet,lalalalala lalalala lalalalala lalalala its a sunny and relaxing holiday im wearing my pretty white dress i left the house while humming lalalalala lalalala youre looking at me staring at me the moment i captiated your heart my trembling oice is like the sound of drums in your heart the twinkling sound of a bell rings lalalalala lalalala lalalalala lalalala lalalalala please gie me that sweet taste ice cream cake with a flaor that fits this special day the ice cream thats on my mouth makes your heart pound and youll come to me its so tasty come and chase me i cant hold it in i scream you scream gimme that gimme that ice cream oh anilla chocolate honey with a cherry on top ill show you different things eery day only to you with more ariety than the rainbow reflected in the fountain ill be pulled een more by you who draws out my loe take me and go hurry and go put me on a small scooter my hands that wrap around your waist will make your heart pound een after the day has passed lalalalala lalalala lalalalala please gie me that sweet taste ice cream cake with a flaor that fits this special day the ice cream thats on my mouth makes your heart pound and youll come to me its so tasty come and chase me i cant hold it in i scream you scream gimme that gimme that ice cream i scream you scream gimme that gimme that ice cream i scream you scream gimme that gimme that pops its melting in my mouth putting so much in that itll feel like my mouth is melting down baby boy other guys dont know anything youre so fine so only wear clothes that dont make you stand out neer get me wrong my boo i hae no interest in that bag from boring mondays to wednesday thursday man i wanna pass your look toward me i see some good ibes its a good feeling when my eyes meet yours gimme that gie me that gimme that gie me that gimme that gie me that ice cream hurry and gie me that soft taste ice cream cake ill light the candles as i only wait for you in my wa heart ice cream cake kiss me before it melts its so tasty come and chase me your lips are sweetly melting im closing my eyes that sweet taste ice cream cake with a flaor that fits this special day the ice cream thats on my mouth makes your heart pound and youll come to me its so tasty come and chase me i cant hold it in i scream you scream gimme that gimme that ice cream i scream you scream gimme that gimme that ice cream i scream you scream gimme that gimme that your lips
77,78,14,Power_Up,Red Velvet,babanana bababanananana babanana bababanananana babanana bababanananana babanana bababanananana oh i haent done anything but how is already 3 oclock im drinking iced americano but why am i still so hot the sun is teasing us the asphalt is 50 degrees wow i want some energy cold or hot summer magic aboe the sparkling ocean im flying already go go airplane fly like lightning so i can throw myself into the kauai waes yeah yeah yeah yeah yeah yeah lets power up were gonna burn up babanana bababanananana babanana bababanananana babanana bababanananana ba lets power up because playing is the most fun oh want what you like i want it i want it want it want it yeah each day your passion is burning ill take it ill take it take it take it yeah thats our genius power we need some spontaneous instincts lets go lets leel up to find the electricity tonight hear the engine roaring background music look im already flying go go airplane fly aboe the sun diing to the sky im getting goosebumps yeah yeah yeah yeah yeah yeah lets power up were gonna burn up go go airplane fly like lightning so i can throw myself into the kauai waes yeah yeah yeah yeah yeah yeah lets power up were gonna burn up babanana bababanananana babanana bababanananana babanana bababanananana ba lets power up because playing is the most fun yeah yeah yeah yeah yeah teacher told me uh uh to hae fun whether im playing or working right yes i shined een more huh this hotness this newness its mine go go airplane fly like lightning so i can throw myself into the kauai waes yeah yeah yeah yeah yeah yeah lets power up were gonna burn up yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah go go airplane fly aboe the sun diing to the sky im getting goosebumps yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah lets power up were gonna burn up babanana bababanananana babanana bababanananana babanana bababanananana ba lets power up because playing is the most fun
78,79,15,Rookie,Red Velvet,yeah alright 12 confidently lift your head and look at me of course rookie rookie my super rookie rookie boy i like you eery time i see you youre my type of course rookie rookie my super rookie rookie boy ha your presence is so big i cant een doubt my feelings for a second im pretending to enjoy this haha im trying to laugh but een the way i talk turns into ice when im in front of you you suddenly came into my life already putting me in danger bewitching me i een memorized your number in one try why why do you keep shaking me up come close to me yes thats right boy ha rookie rookie my super rookie rookie rookie thats right thats right that sensual feeling rookie rookie my super rookie rookie rookie thats right thats right that sensual feeling of course youre nicely coming closer my handsome rookie rookie my super rookie rookie boy eery time i like you more my heart gets electric my handsome rookie rookie my super rookie rookie boy ha dont smile when you look at other guys as if youre my boyfriend you got mad at me eery morning you come to pick me up baby cause youre worried someonell take me away all day youre cautious baby yeah i like it your sharpened eyes but were still nothing special how much longer are you gonna make me wait come a little closer yes thats right boy ha you suddenly came into my life already putting me in danger bewitching me i een memorized your number in one try why why do you keep shaking me up come close to me yes thats right boy ha rookie rookie my super rookie rookie rookie rookie rookie yeah thats right thats right that sensual feeling whoa rookie rookie my super rookie rookie rookie hoo thats right thats right that sensual feeling im getting scared so as much as you took my heart im acting that much colder though youre getting nerous uh i try to hide it but youre already the star of my heart now all of you keeps twinkling brighter yeah rookie rookie youre my rookie rookie rookie rookie rookie youre my rookie rookie rookie rookie rookie youre my rookie rookie rookie rookie rookie youre my rookie rookie rookie rookie rookie my super rookie rookie rookie thats right thats right that sensual feeling rookie rookie my super rookie rookie rookie thats right thats right that sensual feeling
79,80,16,Dumb_Dumb,Red Velvet,dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb im thinking hard all day because of you but i still dont know what to do with you baby baby baby baby baby you play me play me play me play me play me your eyes take my breath away and confuse me it makes my rational senses scatter away baby baby baby baby baby you crazy crazy crazy crazy crazy crazy yeah like a mannequin eerything is so awkward ha ha ha i should just act like i do noally but wheneer i see you i act so stupid my eyes nose lips een my face as legs my walk they wont listen to me dumb dumb dumb dumb dumb dumb dumb dumb the trembling of my heart my jumping moods i cant control it dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb ie dreamed of a romantic moie but your loe always makes my palms sweaty baby baby baby baby baby you make me crazy crazy crazy crazy hey like a mannequin eerything is so awkward ha ha ha i should just act like i do noally but wheneer i see you i act so stupid no dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb oh dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb ah dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb you need to beat it that boy michael jackson bad im not your billie jean dont you leae me alone but youre so ambiguous i want black or white i cant gie up on you my man in the mirror why you wanna trip on me youre too harsh boy you make me scream why am i like this well your loe really neer felt so good its so electrifying that its like watching the thriller i cant escape from you i hate you but i dont i wanna be like that unnie s w but you keep calling me cute like my little brothers robot eerything is so awkward ha ha ha what do i do do i think im broken i think im i forgot een how to breathe my eyes nose lips oh no een my face as legs my walk my walk they wont listen to me dumb dumb dumb dumb dumb dumb dumb dumb the trembling of my heart my jumping moods i cant control it dumb dumb dumb dumb dumb dumb dumb oh dumb dumb dumb dumb baby dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb i must be dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb oh oh oh oh oh
80,81,17,Wish_Tree,Red Velvet,the shining lights past the cold glass window the cold streets wait for the first snow little by little in the joy that spreads een crying babies fall asleep tonight on top of the frozen branches one by one snowflakes fall underneath lets quietly hold hands and make a wish the first wish is for you and i to be happy like we were today the second wish is to always be together een after seeral winters the third wish is for all the other wishes to come true kids lining up to meet santa twinkling eyes bright smiles i used to be like that back in the days on top of the aromatic gingerbread christmas tree small snowflakes gie off a scent inside a small spring flower shyly dreams underneath lets quietly hold hands and make a wish my first wish is for you and i to be happy like we were today the second wish is to always be together een after seeral winters the third wish is for all the other wishes to come true its like an angel came down and kissed me snowflakes are blooming the first wish is for you and i to be happy like we were today the second wish is to always be together een after seeral winters the third wish is for all the other wishes to come true
81,82,18,Umpah_Umpah,Red Velvet,umpah umpah umpah umpah umpah umpah umpah umpah here we go now umpahpah uh yeah uh yeah im warning you you should be careful it might be deep ie seen many but they all couldnt come out why i dont know dont ask me why my eyes cant see how deep it is hope that youre different from them floundering around stifling and suffocating you are falling for me arent you dont be too afraid to me it sure is you just breathe and youll be my partner feel the rhythm as your body remembers i like it something unforgettable right now just follow the heart i like it fly aboe the horizon umpah umpah umpah umpah breathe together umpah umpah umpah umpah look each other in the eye umpah umpah umpah umpah you and i like it something unforgettable let the beat drop feel so so hot hot uh yeah baby umpahpah huh its a little weird ding um where are you you keep missing the beat warning you drink water again oh yeah yeah yeah keep being dumb dumb wait curious this rred flaor happiness is nearby like ice cream cake ice cream cake crazy and suffocating crazy and suffocating you falling for m you falling for me arent you dont be too afraid i to me its always you its you just breathe and you will float it will be you feel the rhythm as your body remembers i like it oh yeah something unforgettable unforgettable right now right now just follow the heart i like it fly aboe the horizon umpah umpah umpah umpah keep the rhythm oh keep it umpah umpah umpah umpah keep step oh keep it umpah umpah umpah umpah ooh yeah you and me like it something unforgettable look at me oh with your eyes capturing the sun oh yeah look at me i like this unforgettable moment feel the rhythm feel the rhythm as your body remembers i like it my heart i like it something unforgettable unforgettable right now right now my heart flows count on me dont lose my hands oh fly aboe the horizon ohh umpah umpah umpah umpah breathe together oh together umpah umpah umpah umpah each other in the eye oh you and me ah yeah umpah umpah umpah umpah i like this moment like it something unforgettable unforgettable let the beat drop thats right feel so so hot hot hot here we go now yeah umpahpah
82,83,19,Happiness,Red Velvet,sometimes you gotta be bold just rock the world booya lalala lalala lalalala happiness lalala lalala lalalala are you happy uh worries blow up feeling bad change up gather strength wind up good things will happen at once straight up eeryday im more style up focus on things that make my mood up my happy life should i tell you my secret when i wake up in the morning i tell my mom i loe her aiyoo my nice daughter the happy feelings following me are so cute it makes me happy uh shes talking this money that power only following that those adults look depressed those people are truly not happy happy things good things this world is full of them that money that power we stopped caring about those a long time ago im a little different i just do what i want to do if you keep worrying youll hae a lot of regrets when youre an adult yesterday today tomorrow too my diary is full of finding happiness im a little different i beliee in the strength of optimism lalala lalala lalalala happiness lalala lalala lalalala i want it lalala lalala lalalala lets dream lalala lalala lalalala uh are you happy uh my friend i met on the way to school she came to me and linked as with me and smiled im happy the group of prankster boys they pay attention to me when i walk by im happy she may nag but in this world shes the best mom hey hey take out the adults who do nothing but fight on t i like it more little by little im happy that im me the thing that makes me happier is that youre by my side uh what you wanna be this money that power only following that those adults look depressed those people are truly not happy happy things good things this world is full of them that money that power we stopped caring about those a long time ago im a little different ago ago ago ago i just do what i want to do if you keep worrying ago ago ago ago youll hae a lot of regrets when youre an adult yesterday today tomorrow too i like it more little by little my diary is full of finding happiness im a little different im happy that im me i beliee in the strength of optimism lalala lalala lalalala happiness lalala lalala lalalala i want it lalala lalala lalalala lets dream lalala lalala lalalala uh are you happy uh shine on me let it shine on me yeah my embrace let it shine shine on me let it shine on me yeah in my as let it shine lalala lalala lalalala happiness lalala lalala lalalala i want it lalala lalala lalalala lets dream lalala lalala lalalala happiness
83,84,20,Zimzalabim,Red Velvet,hoo hahaha are you ready for this zimazalabim after chasing anything thing thing dont get burnt out if you only just sit and wish wish wish for it it wont come true take a look at your true self see what you really want what do you want want want tell me should we hae fun today throw all your worries oer the flat earth nananana nanananana higher to the incantation blooming out of your lips let yourself go nananana nanananana higher ha zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim oh my look at you smiling so brightly dont be too too too surprised thats exactly who you are at the moment you cast the spell eeryone becomes happy nananana nanananana higher youe become accustomed to this restrictie world and now youre just numb to it all follow me what else do you need hey girls aha you ready oh yeah lets look for your dreams that hae faded away and anished lets run after it together boys shout out loud in a playful oice leae eerything behind zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim look at your eyes filled with hope theyre shining like a gem oh dont wander aimlessly so far away youre dazzling smile more brightly the dream is inside you zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim nanananana nananana nanananana nananana nanananana nananana nanananana nananana
84,85,21,RBB_(Really_Bad_Boy),Red Velvet,hey no alright alright yeah bad boy bad boy alright 1 2 5 uh these days im in a panic situation ha honestly im a total holic hey my head is filled only with thoughts of him one one one one one one one one one one one one ah ah ah alright hey my friends say not him hes too bad youll get hurt ah ah ah uhm who can stop me if i like it yeah ill go for it oh oh my god ey oh my god hes a really bad boy hes a really bad boy oh my god ey oh my god hes a really bad boy hes a really really really really really bad boy ey yeah yeah yeah youre so bad boy oh oh oh youre so bad boy oh oh oh youre so bad bad bad bad ey yeah yeah bad bad bad bad boy ey yeah yeah i y bang bang pow hes a really bad boy i y they say he lies trusting only his handsome face if its alright with you ill try to tame you boy mine mine mine mine ah ah ah alright hey do it your way ill allow it try to become your baddest ah ah ah s w no when you change its thrilling oh oh my god ey oh my god oh my god oh my god hes a really bad boy hes a really bad boy oh my god oh my god ey oh my god hes a really bad boy hes a really really really really really bad boy youre so bad boy oh oh oh youre so bad boy oh oh oh youre so bad bad bad bad ey yeah yeah bad bad bad bad boy ey yeah yeah youre too good to gie to someone else ah look i loe you anybody would fall for you youre a bad boy and youre bad for me youre a bad boy and youre bad for me youre a bad boy and youre bad for me youre a bad boy and youre bad for me youre a bad boy and youre bad for me youre a bad boy and youre bad for me no matter how bad you are i like you you shine in this world anybody would fall for you youre a bad boy and youre bad for me youre a bad boy and youre bad for me youre a bad boy and youre bad for me i s youre a bad boy and youre bad for me oh my god hes a really bad boy hes a really really really really really bad boy oh my god oh oh oh hes a really bad boy oh oh oh hes a really bad boy oh my god ey yeah yeah hes a really bad boy hes a really bad boy ey yeah yeah oh my god hes a really bad boy hes a really bad boy hes a really bad boy hes a really bad boy oh my god hes a really bad boy hes a really bad boy hes a really really really really really bad boy woo mmm
85,86,1,POP!,Twice,whats wrong i stir up your mind bewitchingly pop pop pop watch out your heart is all blown up and about to burst pop pop pop lets start the way i want to play it wont stop cmon up and shake it you know just remember you are in my hands you cannot get away from me the twitch in your eyes your nerous gestures baby i want to pop you before the fluttering stops i wanna make it pop pop pop you want it pop pop pop i want it to pop this feeling of the heart pounding i wanna make it pop pop pop you want it pop pop pop i want to make you mine pop pop pop uh uh you want it pop pop pop uh uh i got it pop pop pop uh uh pop pop pop it is so obious no matter how you try to hide it already shows you keep floating around just relax and check it go ahead and take it baby baby youre out of control so youre under my control before the fluttering stops i wanna make it pop pop pop you want it pop pop pop i want it to pop this feeling of the heart pounding i wanna make it pop pop pop you want it pop pop pop i want to make you mine pop pop pop uh uh you want it pop pop pop uh uh i got it pop pop pop uh uh pop pop pop pop pop it might pop like a bubble keeps getting bigger and bigger dont try to deny that you are into me bae bae eyes on me now i am gonna pop you fie now it is time four hold your breath three im aiming at you two one here we go before the fluttering stops i wanna make it pop pop pop you want it pop pop pop i want it to pop this feeling of the heart pounding i wanna make it pop pop pop you want it pop pop pop i want to make you mine pop pop pop uh uh pop pop pop you gotta pop it pop pop pop i cant stop it pop pop pop
